PLAYER	OPPONENT	WINS	LOSSES	DRAWS	TRAINING_LOSS
NeuralMoveInstructionBot	naiveMinimaxBot	0	93	7
NeuralMoveInstructionBot	NeuralMoveInstructionBot	0	0	100
NeuralMoveInstructionBot	naiveMinimaxBot	0	90	10
NeuralMoveInstructionBot	naiveMinimaxBot	0	86	14
NeuralMoveInstructionBot	NeuralMoveInstructionBot	0	1	99
NeuralMoveInstructionBot	NeuralMoveInstructionBot	4	1	95
NeuralMoveInstructionBot	NeuralMoveInstructionBot	0	4	96
NeuralMoveInstructionBot	NeuralMoveInstructionBot	1	1	98
NeuralMoveInstructionBot	naiveMinimaxBot	1	81	18
NeuralMoveInstructionBot	aggroBot	0	27	73
NeuralMoveInstructionBot	NeuralMoveInstructionBot	7	6	87
NeuralMoveInstructionBot	naiveMinimaxBot	0	84	16
NeuralMoveInstructionBot	aggroBot	1	22	77
NeuralMoveInstructionBot	NeuralMoveInstructionBot	4	8	88
NeuralMoveInstructionBot	NeuralMoveInstructionBot	5	2	93
NeuralMoveInstructionBot	aggroBot	0	22	78
NeuralMoveInstructionBot	NeuralMoveInstructionBot	9	7	84
NeuralMoveInstructionBot	aggroBot	1	19	80
NeuralMoveInstructionBot	aggroBot	1	25	74
NeuralMoveInstructionBot	naiveMinimaxBot	0	75	25
NeuralMoveInstructionBot	NeuralMoveInstructionBot	0	3	97
NeuralMoveInstructionBot	NeuralMoveInstructionBot	14	10	76
NeuralMoveInstructionBot	naiveMinimaxBot	0	86	14
NeuralMoveInstructionBot	NeuralMoveInstructionBot	9	5	86
NeuralMoveInstructionBot	randomBot	6	12	82
NeuralMoveInstructionBot	randomBot	9	4	87
NeuralMoveInstructionBot	randomBot	4	2	94
NeuralMoveInstructionBot	randomBot	12	9	79
NeuralMoveInstructionBot	NeuralMoveInstructionBot	5	8	87
NeuralMoveInstructionBot	randomBot	10	5	85
NeuralMoveInstructionBot	NeuralMoveInstructionBot	5	8	87
NeuralMoveInstructionBot	NeuralMoveInstructionBot	6	6	88
NeuralMoveInstructionBot	aggroBot	1	30	69
NeuralMoveInstructionBot	naiveMinimaxBot	0	80	20
NeuralMoveInstructionBot	aggroBot	0	25	75
NeuralMoveInstructionBot	NeuralMoveInstructionBot	4	5	91
NeuralMoveInstructionBot	naiveMinimaxBot	0	81	19
NeuralMoveInstructionBot	NeuralMoveInstructionBot	10	13	77
NeuralMoveInstructionBot	aggroBot	2	26	72
NeuralMoveInstructionBot	NeuralMoveInstructionBot	5	1	94
NeuralMoveInstructionBot	randomBot	5	7	88
NeuralMoveInstructionBot	aggroBot	0	26	74
NeuralMoveInstructionBot	randomBot	6	4	90
NeuralMoveInstructionBot	naiveMinimaxBot	1	80	19
NeuralMoveInstructionBot	naiveMinimaxBot	0	82	18
NeuralMoveInstructionBot	naiveMinimaxBot	0	85	15
NeuralMoveInstructionBot	naiveMinimaxBot	0	94	6
NeuralMoveInstructionBot	aggroBot	2	28	70
NeuralMoveInstructionBot	NeuralMoveInstructionBot	6	6	88
NeuralMoveInstructionBot	naiveMinimaxBot	0	82	18
NeuralMoveInstructionBot	NeuralMoveInstructionBot	4	4	92
NeuralMoveInstructionBot	randomBot	13	3	84
NeuralMoveInstructionBot	aggroBot	2	18	80
NeuralMoveInstructionBot	randomBot	12	4	84
NeuralMoveInstructionBot	randomBot	16	3	81
NeuralMoveInstructionBot	aggroBot	1	23	76
NeuralMoveInstructionBot	randomBot	5	1	94
NeuralMoveInstructionBot	aggroBot	1	26	73
NeuralMoveInstructionBot	aggroBot	1	19	80
NeuralMoveInstructionBot	randomBot	12	3	85
NeuralMoveInstructionBot	randomBot	9	5	86
NeuralMoveInstructionBot	NeuralMoveInstructionBot	9	8	83
NeuralMoveInstructionBot	randomBot	9	8	83
NeuralMoveInstructionBot	randomBot	10	4	86
NeuralMoveInstructionBot	NeuralMoveInstructionBot	5	5	90
NeuralMoveInstructionBot	NeuralMoveInstructionBot	10	12	78
NeuralMoveInstructionBot	randomBot	13	14	73
NeuralMoveInstructionBot	NeuralMoveInstructionBot	5	6	89
NeuralMoveInstructionBot	randomBot	0	7	93
NeuralMoveInstructionBot	randomBot	15	13	72
NeuralMoveInstructionBot	naiveMinimaxBot	0	81	19
NeuralMoveInstructionBot	randomBot	2	3	95
NeuralMoveInstructionBot	naiveMinimaxBot	0	83	17
NeuralMoveInstructionBot	randomBot	10	6	84
NeuralMoveInstructionBot	randomBot	5	6	89
NeuralMoveInstructionBot	naiveMinimaxBot	1	70	29
NeuralMoveInstructionBot	naiveMinimaxBot	0	80	20
NeuralMoveInstructionBot	aggroBot	0	30	70
NeuralMoveInstructionBot	naiveMinimaxBot	0	95	5
NeuralMoveInstructionBot	NeuralMoveInstructionBot	4	8	88
NeuralMoveInstructionBot	naiveMinimaxBot	0	83	17
NeuralMoveInstructionBot	randomBot	19	1	80
NeuralMoveInstructionBot	NeuralMoveInstructionBot	18	7	75
NeuralMoveInstructionBot	randomBot	9	8	83
NeuralMoveInstructionBot	NeuralMoveInstructionBot	0	4	96
NeuralMoveInstructionBot	naiveMinimaxBot	0	88	12
NeuralMoveInstructionBot	aggroBot	0	25	75
NeuralMoveInstructionBot	randomBot	8	11	81
NeuralMoveInstructionBot	naiveMinimaxBot	0	85	15
NeuralMoveInstructionBot	NeuralMoveInstructionBot	9	10	81
NeuralMoveInstructionBot	randomBot	11	13	76
NeuralMoveInstructionBot	NeuralMoveInstructionBot	7	8	85
NeuralMoveInstructionBot	randomBot	5	9	86
NeuralMoveInstructionBot	NeuralMoveInstructionBot	4	0	96
NeuralMoveInstructionBot	randomBot	1	17	82
NeuralMoveInstructionBot	randomBot	4	0	96
NeuralMoveInstructionBot	randomBot	7	6	87
NeuralMoveInstructionBot	NeuralMoveInstructionBot	3	8	89
NeuralMoveInstructionBot	randomBot	5	12	83
NeuralMoveInstructionBot	aggroBot	2	35	63
NeuralMoveInstructionBot	naiveMinimaxBot	0	89	11
NeuralMoveInstructionBot	randomBot	8	18	74
