PLAYER	OPPONENT	WINS	LOSSES	DRAWS	TRAINING_LOSS
NeuralBoardValueBot	stockfish	0	100	0	0.019863962506254513
NeuralBoardValueBot	stockfish	0	100	0	0.018632723949849606
NeuralBoardValueBot	stockfish	0	100	0	0.02418873893717925
NeuralBoardValueBot	stockfish	0	100	0	0.01361976626018683
NeuralBoardValueBot	stockfish	0	100	0	0.020372022564212482
NeuralBoardValueBot	stockfish	0	100	0	0.02174067807694276
NeuralBoardValueBot	stockfish	0	100	0	0.03349004996319612
NeuralBoardValueBot	stockfish	0	100	0	0.017496744791666668
NeuralBoardValueBot	stockfish	0	100	0	0.010876664891839027
NeuralBoardValueBot	stockfish	0	100	0	0.014309805197020372
NeuralBoardValueBot	stockfish	0	100	0	0.013557877391576767
NeuralBoardValueBot	stockfish	0	100	0	0.00975576446702083
NeuralBoardValueBot	stockfish	0	100	0	0.016453446509937446
NeuralBoardValueBot	stockfish	0	100	0	0.014133033653100332
NeuralBoardValueBot	stockfish	0	100	0	0.01846324714521567
NeuralBoardValueBot	stockfish	0	100	0	0.02003990982969602
NeuralBoardValueBot	stockfish	0	100	0	0.02012202174713214
NeuralBoardValueBot	stockfish	0	100	0	0.017473462658623855
NeuralBoardValueBot	stockfish	0	100	0	0.024852769449353218
NeuralBoardValueBot	stockfish	0	100	0	0.015566204984982809
NeuralBoardValueBot	stockfish	0	100	0	0.02652946797509988
NeuralBoardValueBot	stockfish	0	100	0	0.016884477188189823
NeuralBoardValueBot	stockfish	0	100	0	0.018101016369958717
NeuralBoardValueBot	stockfish	0	100	0	0.00874932607014974
NeuralBoardValueBot	stockfish	0	100	0	0.01923438875625531
NeuralBoardValueBot	stockfish	0	100	0	0.021738447869817417
NeuralBoardValueBot	stockfish	0	100	0	0.017008888845642407
NeuralBoardValueBot	stockfish	0	100	0	0.01696117625882228
NeuralBoardValueBot	stockfish	0	100	0	0.008423227040717999
NeuralBoardValueBot	stockfish	0	100	0	0.012946081502983967
NeuralBoardValueBot	stockfish	0	100	0	0.014397382095921785
NeuralBoardValueBot	stockfish	0	100	0	0.015068230529626211
NeuralBoardValueBot	stockfish	0	100	0	0.011827803527315458
NeuralBoardValueBot	stockfish	0	100	0	0.01723245345056057
NeuralBoardValueBot	stockfish	0	100	0	0.01226408655444781
NeuralBoardValueBot	stockfish	0	100	0	0.012048444089790186
NeuralBoardValueBot	stockfish	0	100	0	0.028171112140019734
NeuralBoardValueBot	stockfish	0	100	0	0.023251234243313473
NeuralBoardValueBot	stockfish	0	100	0	0.02955940117438634
NeuralBoardValueBot	stockfish	0	100	0	0.027572277933359146
NeuralBoardValueBot	stockfish	0	100	0	0.02254710594813029
NeuralBoardValueBot	stockfish	0	100	0	0.02068332800020774
NeuralBoardValueBot	stockfish	0	100	0	0.02010665275156498
NeuralBoardValueBot	stockfish	0	100	0	0.01475429441779852
NeuralBoardValueBot	stockfish	0	100	0	0.025554152205586433
NeuralBoardValueBot	stockfish	0	100	0	0.015587172160545984
NeuralBoardValueBot	stockfish	0	100	0	0.015835065084199112
NeuralBoardValueBot	stockfish	0	100	0	0.009864201458791891
NeuralBoardValueBot	stockfish	0	100	0	0.018615855524937313
NeuralBoardValueBot	stockfish	0	100	0	0.017440979989866417
NeuralBoardValueBot	stockfish	0	100	0	0.014702051101873318
NeuralBoardValueBot	stockfish	0	100	0	0.010719115535418192
NeuralBoardValueBot	stockfish	0	100	0	0.0068986125600834685
NeuralBoardValueBot	stockfish	0	100	0	0.009581944439560175
NeuralBoardValueBot	stockfish	0	100	0	0.009767898047963778
NeuralBoardValueBot	stockfish	0	100	0	0.006862892614056666
NeuralBoardValueBot	stockfish	0	100	0	0.01527797244489193
NeuralBoardValueBot	stockfish	0	100	0	0.010611818637698889
NeuralBoardValueBot	stockfish	0	100	0	0.016895797103643417
NeuralBoardValueBot	stockfish	0	100	0	0.008769756803909937
NeuralBoardValueBot	stockfish	0	100	0	0.013031853052477041
NeuralBoardValueBot	stockfish	0	100	0	0.017040969493488472
NeuralBoardValueBot	stockfish	0	100	0	0.009997989516705275
NeuralBoardValueBot	stockfish	0	100	0	0.024272159362832706
NeuralBoardValueBot	stockfish	0	100	0	0.01894494766990344
NeuralBoardValueBot	stockfish	0	100	0	0.022362589836120605
NeuralBoardValueBot	stockfish	0	100	0	0.013486791402101517
NeuralBoardValueBot	stockfish	0	100	0	0.020662087636689346
NeuralBoardValueBot	stockfish	0	100	0	0.01452800507346789
NeuralBoardValueBot	stockfish	0	100	0	0.014772763786216577
NeuralBoardValueBot	stockfish	0	100	0	0.015704526255528133
NeuralBoardValueBot	stockfish	0	100	0	0.005627241528903444
NeuralBoardValueBot	stockfish	0	100	0	0.014592096209526062
NeuralBoardValueBot	stockfish	0	100	0	0.010566802384952704
NeuralBoardValueBot	stockfish	0	100	0	0.012024227529764175
NeuralBoardValueBot	stockfish	0	100	0	0.026570008446772892
NeuralBoardValueBot	stockfish	0	100	0	0.019882131988803547
NeuralBoardValueBot	stockfish	0	100	0	0.029300018213689327
NeuralBoardValueBot	stockfish	0	100	0	0.014011583601435026
NeuralBoardValueBot	stockfish	0	100	0	0.016829047662516434
NeuralBoardValueBot	stockfish	0	100	0	0.015749533971150715
NeuralBoardValueBot	stockfish	0	100	0	0.019684341736137867
NeuralBoardValueBot	stockfish	0	100	0	0.012948546248177687
NeuralBoardValueBot	stockfish	0	100	0	0.015479314761857191
NeuralBoardValueBot	stockfish	0	100	0	0.018224126659333706
NeuralBoardValueBot	stockfish	0	100	0	0.010403915929297606
NeuralBoardValueBot	stockfish	0	100	0	0.018043294238547485
NeuralBoardValueBot	stockfish	0	100	0	0.020944399138291676
NeuralBoardValueBot	stockfish	0	100	0	0.019823855410019558
NeuralBoardValueBot	stockfish	0	100	0	0.014360515711208185
NeuralBoardValueBot	stockfish	0	100	0	0.013322178895274797
NeuralBoardValueBot	stockfish	0	100	0	0.01935774025817712
NeuralBoardValueBot	stockfish	0	100	0	0.017501502608259518
NeuralBoardValueBot	stockfish	0	100	0	0.019469783330957096
NeuralBoardValueBot	stockfish	0	100	0	0.013279412873089314
NeuralBoardValueBot	stockfish	0	100	0	0.01927106734365225
NeuralBoardValueBot	stockfish	0	100	0	0.018157488976915676
NeuralBoardValueBot	stockfish	0	100	0	0.009865671706696352
NeuralBoardValueBot	stockfish	0	100	0	0.011754140257835388
NeuralBoardValueBot	stockfish	0	100	0	0.01728578346470992
NeuralBoardValueBot	stockfish	0	100	0	0.013647500425577164
NeuralBoardValueBot	stockfish	0	100	0	0.014581965593000254
NeuralBoardValueBot	stockfish	0	100	0	0.022794320558508236
NeuralBoardValueBot	stockfish	0	100	0	0.041925773645440735
NeuralBoardValueBot	stockfish	0	100	0	0.03173592872917652
NeuralBoardValueBot	stockfish	0	100	0	0.014571170322597027
NeuralBoardValueBot	stockfish	0	100	0	0.018350667009751003
NeuralBoardValueBot	stockfish	0	100	0	0.0140057522803545
NeuralBoardValueBot	stockfish	0	100	0	0.01879993888239066
NeuralBoardValueBot	stockfish	0	100	0	0.02246475840608279
NeuralBoardValueBot	stockfish	0	100	0	0.010566508087019125
NeuralBoardValueBot	stockfish	0	100	0	0.006303292078276475
NeuralBoardValueBot	stockfish	0	100	0	0.012423084738353888
NeuralBoardValueBot	stockfish	0	100	0	0.01539219543337822
NeuralBoardValueBot	stockfish	0	100	0	0.03000943424801032
NeuralBoardValueBot	stockfish	0	100	0	0.026561261465152104
NeuralBoardValueBot	stockfish	0	100	0	0.027078898002703983
NeuralBoardValueBot	stockfish	0	100	0	0.021578822905818622
NeuralBoardValueBot	stockfish	0	100	0	0.017183220324416954
NeuralBoardValueBot	stockfish	0	100	0	0.025022529686490696
NeuralBoardValueBot	stockfish	0	100	0	0.014501438786586126
NeuralBoardValueBot	stockfish	0	100	0	0.01247562374919653
NeuralBoardValueBot	stockfish	0	100	0	0.022640150040388107
NeuralBoardValueBot	stockfish	0	100	0	0.017902440081040066
NeuralBoardValueBot	stockfish	0	100	0	0.010765938398738703
NeuralBoardValueBot	stockfish	0	100	0	0.011262947072585424
NeuralBoardValueBot	stockfish	0	100	0	0.007476957514882088
NeuralBoardValueBot	stockfish	0	100	0	0.008627633874615034
NeuralBoardValueBot	stockfish	0	100	0	0.01017917071779569
NeuralBoardValueBot	stockfish	0	100	0	0.005401947069913149
NeuralBoardValueBot	stockfish	0	100	0	0.01648908481001854
NeuralBoardValueBot	stockfish	0	100	0	0.018734540169437725
NeuralBoardValueBot	stockfish	0	100	0	0.012836020439863205
NeuralBoardValueBot	stockfish	0	100	0	0.006936508230865002
NeuralBoardValueBot	stockfish	0	100	0	0.011065429697434107
NeuralBoardValueBot	stockfish	0	100	0	0.012711631134152412
NeuralBoardValueBot	stockfish	0	100	0	0.01012654323130846
NeuralBoardValueBot	stockfish	0	100	0	0.006343740736548753
NeuralBoardValueBot	stockfish	0	100	0	0.00992276861021916
NeuralBoardValueBot	stockfish	0	100	0	0.006777436006814241
NeuralBoardValueBot	stockfish	0	100	0	0.019034200658400852
NeuralBoardValueBot	stockfish	0	100	0	0.01406756897146503
NeuralBoardValueBot	stockfish	0	100	0	0.019272707402706146
NeuralBoardValueBot	stockfish	0	100	0	0.012346272356808186
NeuralBoardValueBot	stockfish	0	100	0	0.01503427450855573
NeuralBoardValueBot	stockfish	0	100	0	0.016384854912757874
NeuralBoardValueBot	stockfish	0	100	0	0.013109763773779074
NeuralBoardValueBot	stockfish	0	100	0	0.012238112278282642
NeuralBoardValueBot	stockfish	0	100	0	0.011603925687571367
NeuralBoardValueBot	stockfish	0	100	0	0.007695263717323542
NeuralBoardValueBot	stockfish	0	100	0	0.009227896109223366
NeuralBoardValueBot	stockfish	0	100	0	0.015088340267539024
NeuralBoardValueBot	stockfish	0	100	0	0.013488930650055408
NeuralBoardValueBot	stockfish	0	100	0	0.016700859802464645
NeuralBoardValueBot	stockfish	0	100	0	0.0196542131404082
NeuralBoardValueBot	stockfish	0	100	0	0.021707074095805485
NeuralBoardValueBot	stockfish	0	100	0	0.013973866278926531
NeuralBoardValueBot	stockfish	0	100	0	0.009193174230555693
NeuralBoardValueBot	stockfish	0	100	0	0.01500925545891126
NeuralBoardValueBot	stockfish	0	100	0	0.01505928517629703
NeuralBoardValueBot	stockfish	0	100	0	0.012172402503589788
NeuralBoardValueBot	stockfish	0	100	0	0.020500680431723595
NeuralBoardValueBot	stockfish	0	100	0	0.020526564369599026
NeuralBoardValueBot	stockfish	0	100	0	0.014342673122882843
NeuralBoardValueBot	stockfish	0	100	0	0.02637399670978387
NeuralBoardValueBot	stockfish	0	100	0	0.13519187830388546
NeuralBoardValueBot	stockfish	0	100	0	0.05179841505984465
NeuralBoardValueBot	stockfish	0	100	0	0.05621856823563576
NeuralBoardValueBot	stockfish	0	100	0	0.02989225834608078
NeuralBoardValueBot	stockfish	0	100	0	0.05405162274837494
NeuralBoardValueBot	stockfish	0	100	0	0.021734388545155525
NeuralBoardValueBot	stockfish	0	100	0	0.046543996781110764
NeuralBoardValueBot	stockfish	0	100	0	0.034658050164580345
NeuralBoardValueBot	stockfish	0	100	0	0.01911856389294068
NeuralBoardValueBot	stockfish	0	100	0	0.03441866238911947
NeuralBoardValueBot	stockfish	0	100	0	0.03122164433201154
NeuralBoardValueBot	stockfish	0	100	0	0.017949687006572883
NeuralBoardValueBot	stockfish	0	100	0	0.013948149358232817
NeuralBoardValueBot	stockfish	0	100	0	0.022448201353351276
NeuralBoardValueBot	stockfish	0	100	0	0.021602909391125042
NeuralBoardValueBot	stockfish	0	100	0	0.0345459779103597
NeuralBoardValueBot	stockfish	0	100	0	0.01517428116252025
NeuralBoardValueBot	stockfish	0	100	0	0.01566448559363683
NeuralBoardValueBot	stockfish	0	100	0	0.018286292130748432
NeuralBoardValueBot	stockfish	0	100	0	0.017282331362366676
NeuralBoardValueBot	stockfish	0	100	0	0.015748086695869763
NeuralBoardValueBot	stockfish	0	100	0	0.007196809786061446
NeuralBoardValueBot	stockfish	0	100	0	0.02349539597829183
NeuralBoardValueBot	stockfish	0	100	0	0.014298362036546072
NeuralBoardValueBot	stockfish	0	100	0	0.017350519075989723
NeuralBoardValueBot	stockfish	0	100	0	0.011760569488008818
NeuralBoardValueBot	stockfish	0	100	0	0.015108424549301466
NeuralBoardValueBot	stockfish	0	100	0	0.016131624579429626
NeuralBoardValueBot	stockfish	0	100	0	0.014165314535299936
NeuralBoardValueBot	stockfish	0	100	0	0.012724820214013258
NeuralBoardValueBot	stockfish	0	100	0	0.012427782639861107
NeuralBoardValueBot	stockfish	0	100	0	0.016849456975857418
NeuralBoardValueBot	stockfish	0	100	0	0.013935716822743416
NeuralBoardValueBot	stockfish	0	100	0	0.009900057533135017
NeuralBoardValueBot	stockfish	0	100	0	0.0068436179620524245
NeuralBoardValueBot	stockfish	0	100	0	0.010290201753377914
NeuralBoardValueBot	stockfish	0	100	0	0.010930503718554974
NeuralBoardValueBot	stockfish	0	100	0	0.010135896038264036
NeuralMoveInstructionBot	stockfish	0	100	0	0.15473725646734238
NeuralMoveInstructionBot	stockfish	0	100	0	0.14320209622383118
NeuralMoveInstructionBot	NeuralMoveInstructionBot	1	1	98	0.12243299186229706
NeuralMoveInstructionBot	NeuralMoveInstructionBot	1	0	99	0.11298703402280807
NeuralMoveInstructionBot	stockfish	0	100	0	0.10595706105232239
NeuralMoveInstructionBot	stockfish	0	100	0	0.07766493409872055
NeuralMoveInstructionBot	stockfish	0	100	0	0.056455603800714016
NeuralMoveInstructionBot	NeuralMoveInstructionBot	9	2	89	0.04740402288734913
NeuralMoveInstructionBot	NeuralMoveInstructionBot	16	19	65	0.02547733746469021
NeuralMoveInstructionBot	stockfish	0	100	0	0.03337706997990608
NeuralMoveInstructionBot	stockfish	0	100	0	0.03248267527669668
NeuralMoveInstructionBot	NeuralMoveInstructionBot	1	2	97	0.015553667210042477
NeuralMoveInstructionBot	stockfish	0	100	0	0.022370401148994763
NeuralMoveInstructionBot	stockfish	0	100	0	0.016422790475189686
NeuralMoveInstructionBot	NeuralMoveInstructionBot	5	13	82	0.01572195440530777
NeuralMoveInstructionBot	stockfish	0	100	0	0.02151116542518139
NeuralMoveInstructionBot	NeuralMoveInstructionBot	5	9	86	0.009834220632910728
NeuralMoveInstructionBot	NeuralMoveInstructionBot	3	6	91	0.011882823891937733
NeuralMoveInstructionBot	NeuralMoveInstructionBot	6	4	90	0.015483259223401546
NeuralMoveInstructionBot	stockfish	0	100	0	0.019647272303700447
NeuralMoveInstructionBot	stockfish	0	100	0	0.019693473353981972
NeuralMoveInstructionBot	stockfish	0	100	0	0.01990038963655631
NeuralMoveInstructionBot	stockfish	0	100	0	0.01880457748969396
NeuralMoveInstructionBot	NeuralMoveInstructionBot	7	18	75	0.009454538580030203
NeuralMoveInstructionBot	stockfish	0	100	0	0.018584126606583595
NeuralMoveInstructionBot	NeuralMoveInstructionBot	12	14	74	0.005615462432615459
NeuralMoveInstructionBot	stockfish	0	100	0	0.020569944754242897
NeuralMoveInstructionBot	NeuralMoveInstructionBot	15	17	68	0.006767093320377171
NeuralMoveInstructionBot	NeuralMoveInstructionBot	14	16	70	0.006031413679011166
